department code,name
1,Agriculture and Agri-Food Canada
12,Atlantic Canada Opportunities Agency
74,Canada Institutes of Health Research
86,Canadian Northern Economic Development Agency
95,Canadian Space Agency
122,Canadian Heritage
125,Fisheries and Oceans Canada
126,Global Affairs Canada
128,Employment and Social Development Canada
130,"Innovation, Science and Economic Development Canada"
133,Department of National Defence
134,Natural Resources Canada
136,Public Services and Procurement Canada
137,Environment and Climate Change Canada
140,Western Economic Diversification Canada
141,Canada Economic Development for Quebec Regions
150,Federal Economic Development Agency for Southern Ontario
228,National Research Council of Canada
230,Natural Sciences and Engineering Research Council